Education,Labels
Singapore Polytechnic,3
I am capable of contributing more towards the betterment of your reputed organization while gaining,0
Sketch / Photoshop,2
Diploma of Computing/IT | PIBT (Perth Institute of Technology),1
University of Plymouth,3
Corporate Finance,2
 Research the most tax savvy and efficient way to strategically form overseas in-house partnerships,0
"Bootstrap , java-script",2
"percentage of illiquid securities while structuring share class offering, subscription and redemption terms and",0
Investment Foundations Progam,1
The Chinese University of Hong Kong Graduated in May 2010,1
2003 2008 Concordia Lutheran School,3
"Paxus  has a very good command in computer applications Microsoft Word, Excel, Outlook,",0
"queries.  Complying and onboard new internal controls, policies and procedures. Review",0
 can communicate in English language effectively (written and spoken),2
 Master Degree in Knowledge Management - Nanyang Technological University of Singapore,1
2002 - 2015 2016 - 2019 Rahula College Matara,3
Linkedin //linkedin.com/in/dushan-,0
International Programmes Second Class Honours (Upper Division),1
 General English B,1
Mobile Software Engineer,0
A Level (Local Examination Syndicate),1
2014 Promotion to Senior Fund Accounting Analyst,0
 Bachelor Degree in Computer Science & Technology - Zhengzhou University of China,1
6347497 Temasek Polytechnic,0
"INSEAD, Master of Business Administration (MBA), Full-Time Program December 2017",1
AWARDS July 2003 June 2006 International Undergraduate Scholarship,0
WORK EXPERIENCE,0
Anglia Ruskin University (UK) 1998 to 2001,3
Diploma in Business Information,1
"Wesleyan University, Middletown, Connecticut, United States of America May 2010",0
"Apex advises managers to consider the overall implication of fund strategies, asset classes, portfolio turnover",0
 Handle daily expense approval,2
" Act as interface to investment companies and fund managers, assuring them to meet their reporting obligations",2
"organizations, grading system,",2
 Perform daily/weekly/monthly audit and customised checks to ensure the accuracy of portfolio reporting,2
"As a purely investment holding and management company, the multi-national company's core activity is financial",0
programming with experience,2
Bachelor in Business Administration,1
 Coaching and training juniors in understanding calculation of NAV process for new,2
(University of London),3
Graduate (F.5),0
"accruals. Calculation and validation of management fees, highwatermark,",2
"Institute of English Studies, Sri Lanka",3
Reconcile dividends and equity swaps/collateral and any interests related,2
"2009 2013 School of Continuing and Professional Studies,",3
The Chinese University of Hong Kong,3
"PricewaterhouseCoopers Manager, Assurance Jan 2014 May 2016",0
clients. We also provide Administration services to Singapore domiciled Funds under the Enhanced Tier,0
"BBA in Professional Accountancy, Second Honor",1
Hong Kong Certificate Education of Examination (2009),1
client's personal details.,0
"Paxus  has a very good command in computer applications Microsoft Word, Excel, Outlook,",0
Sep 2011 to Aug 2013,0
"investor queries, pro-activeness in discussing potential concerns and timely delivery of NAV's to clients have",2
user/account.,0
G.C.E. Advanced Level examination,1
Singapore Polytechnic,3
contributions to enhance the,0
University of London,3
Handled funds with master feeder fund structure with mutli line hedging,0
 4S Share a Secret Spread Success Foundation 2007 to present,0
find a Software Developer,0
MISCELLANEOUS INFORMATION,0
"Others English, Mandarin",2
"Loss Statement on daily/weekly/monthly basis, while ensuring tight",2
skills and knowledge for continuous improvement.,0
ACCA Qualification Level 3,1
Expected (2022),0
(Commerce) R/Sivali Central College,1
2010 Temasek Polytechnic,3
Ngee Ann Secondary School,3
Hedge Fund Administration,2
Full Stack Developer Intern,0
6347497 Temasek Polytechnic,0
(2019 Present),0
2019  Programming Principles Build a Rock-Paper-,0
"Structure. The availability of professionally qualified staff locally, the quick turnaround time for manager and",0
(SIM University),3
Computer Hardware Technician,0
 can communicate in English language effectively (written and spoken),2
"Intensive Courses in Spoken English, Elocution and Grammar",2
creating the database and .Net),2
Android Studio / XCODE,2
MCKENZIE LIM Sui Heng,0
"system to manage school-related data, resource",0
writing Project Management,0
Sri Lanka Computer Competency License,0
Engineering at SLIIT,1
Currently I'm seeking a job opportunity in the field of mobile development,0
