Experiences,Labels
"SQL Server, MySQL",3
"Business Analyst, DEUTSCHE BANK SINGAPORE April 2012-August 2012",1
I certify the above-mentioned details presented,0
UOB Asset Management Operations APRIL 2012 to JULY 2014,2
I. Fingerprint validation.,3
IV. Customer activation,3
Apr 2017 - Present,0
State Street Bank and Trust (Singapore) AUG 2015 TO MAY 2016,2
Senior Associate - Client Reporting Team,1
"JavaScript, AngularJs",3
Index dropped by 20.0%;,0
Fund Accountant October 2007 to September 2011,1
"APEX FUND SERVICES (SINGAPORE) PTE LTD, SINGAPORE",2
Personal Skills,0
"Faculty of Applied Sciences, Sabaragamuwa",0
Technologies,0
"CROWN SUCCESS ENTERPRISES PTE LTD, SINGAPORE",2
Successfully Comtpleted Etpic English Ditploma at Etpic College in 2016,3
Manx Financial Services Pte Ltd (Credit card sales & Debt recovery service),2
"Rathmalana, October 2018- May 2019",0
Financial Year End Reporting for respective clients.,3
"Audit Associate, KPMG Singapore",1
JK Technology Pte Ltd(Outsource to AIA Singapore) Oct 2011 June 2013,2
"Information Technology,",3
Distinction,0
STEP Framework,3
"Kong to Singapore. Updated static data in various platforms, did up multiple spreadsheets which were",0
Exchange of Thailand for the first time in Thailand’s capital market history.,0
Oct 2010 Apr 2015,0
Comtpleted the Personal Enhancement Program at EPIC Collage Galle l2016/17.,0
Eurekahedge Pte. February 2014 to December 2016,2
"Teach basic, conversational English, Japanese and Mandarin to Buddhist monks and elementary school students in",3
OCBC Bank Limited |,2
Middle Name Lakmal,0
Computer Operator October 2008 - June 2010,1
B.Sc. Special Honors Degree in Information,0
FOREIGN EXCHANGE & MONEY MARKET INSTRUMENTS,2
Jan 2019 June 2019 (06 months),0
S,0
The department supports the trading and marketing activities of the Structured Desk serving high net worth clients,0
Photography & Videography,3
Reading,0
Operations Analyst,1
"Hor Kew Private Limited, a subsidiary of Hor Kew Corporation Limited",2
"Prime Brokerage Client Service Senior Analyst, CREDIT SUISSE SINGAPORE August 2012-August 2013",1
Position level Asc Degree,0
Extracurricular Actiites / Competencies,0
Event Cordinatoer of Otpulent River Face Hotel Rajagiriya (Current),1
"Senior Fund Accountant/Deputy Manager, Citibank Singapore",1
First Name Tharaka,0
Position level Asc Degree,0
"Supervisor, Portfolio Accounting",1
Technologies,0
Blogging & Vlogging,3
II. Check all logged transactions,0
Mathematics A [English],3
Buddhism A [Sinhala],0
"Diploma in Computer Science - Lincoln University College, Malaysia",0
SENIOR FINANCIAL ACCOUNTANT JUN 2013 DEC 2015,1
Position level Bachelor's,0
Aug 2007 — May 2010,0
Associate - Client Service,1
September 2008 June 2013,0
VCAN is the official in house data gathering and e canvessing mobile application for Sri Lanka,0
Development,0
Senior Accounts Executive January to September 2007,1
ADL Test Automation Framework (R&D team),3
Jul 2002 — May 2005,0
Senior Fund Accountant October 2011 to September 2016,1
"Online Ventures Asia Subang Jaya, Malaysia",2
Senior Officer (Cash team),1
"Fund Raiser, Fast-A-Thon, Middletown, Connecticut, United States of America Fall 2006-2010",1
Fund Accountant,1
Financial Consultant,1
Fair Capital Management Limited Apr 10 May 12,2
Travel Coordinator of Trekwings Travels (2015/01l2016/12),1
English A [English],3
"NAV calculations, monthly reconciliations and liaising with external service providers",3
Administration (SLIDA),0
"Hi-Tech Institute Nugegoda, Sri Lanka",0
"Senior Associate, Derivatives Delta One Sales Trading, MACQUARIE SECURITIES September 2013-October 2014",1
"Equities Sales Support Analyst, GOLDMAN SACHS SINGAPORE June 2010-Sept 2011",1
H O B B I E S,0
MARKET-LINKED DERIVATIVES & INTEREST RATE & EQUITY SWAPS,3
Thamali.hiththatiyage@,0
Manx Financial Services Pte Ltd (Credit card sales & Debt recovery service),2
SKILLS,0
July 2019 Present,0
Satisfaction by 35%,0
"Resident 16/40 Elegant residences Samanala Uyana Road, Malabe.",0
SENIOR FINANCIAL ACCOUNTANT JUN 2013 DEC 2015,1
Logistics Operations,3
Eurekahedge Pte. February 2014 to December 2016,2
CarPass,0
Part Time banquet Staf of Otpulent River Face Hotel Rajagiriya (2018l2019),1
React-Native,3
"Commission Thailand and Bank of Thailand to issue new financial product, Index Warrant to be listed on the Stock",0
INTERESTS,0
Fund Administration,1
PHILIPS ELECTRONICS (SINGAPORE) PTE LTD,2
"Morgan Stanley MUFG Securities Co., Ltd. January 2010 to January 2014",2
NON-RELATED REFEREES,0
Comtpleted Intermediate English Language at Britsh Council l2011,0
Senior Client Services Accountant October 2016 to Present,1
"Commission Thailand and Bank of Thailand to issue new financial product, Index Warrant to be listed on the Stock",0
Associate - Client Service,1
Motor Claims Department,2
CITCO Fund Services (17 Feb 2014 Current),2
"Information Systems,",0
Made in Sri Lanka E-commerce,0
Middle Office Trade Processing Team,2
React-Native with GraphQL,3
Fair Capital Management Limited Apr 10 May 12,2
"Ajax, Jquery",3
Sri Lanka Institute of,0
Bachelor of Science (Accounting and,0
Financial Accounts Officer- Hong Kong (Aug 2014- Dec 2014),1
Fund Accountant,1
"BCA grant claim, CPF, IR8A submission)",0
HealthFirst framework integrate with VTAF(Virtusa Test Automation Framework),0
University of Technology Sydney,0
Financial Accounts Officer- Asia Pacific (Jan2015-Present),1
Successfully Comtpleted Tourist Chaufer License Examinaton SLTDA 2015.,3
"Kokusai Securities (present Mitsubishi UFJ Morgan Stanley Securities Co., Ltd.) Apr 1998 to Dec 2000",2
"Senior Associate, Business Development & Marketing, ANDAS TELECOM November 2014-Present",1
Recycling (Singapore) Pte Ltd),2
Fund Accountant,1
EDUCATION,0
Treasury Specialist Feb 2010 to Feb 2011,1
Following YouTube Coding tutorials,0
Trainee Software Developer,1
Core Team Member - Social Action Project,1
References,0
"Good command in spoken and written Cantonese, English and Mandarin",3
CGPA- 3.24,0
Battaramulla,0
OCBC Bank (4 Nov 2004 22 Apr 2005),2
ASSISTANT ACCOUNTANT MAY 2009 NOV 2011,1
Student Portal,0
SENIOR FUND ACCOUNTANT DEC 2015 - PRESENT,1
UBS Securities Japan Ltd. January 2001 to June 2009,2
"Kong to Singapore. Updated static data in various platforms, did up multiple spreadsheets which were",0
Filmmaking,3
COMMUNITY SERVICE,0
MongoDB,3
CITIC Securities International,2
"Senior Associate, Derivatives Delta One Sales Trading, MACQUARIE SECURITIES September 2013-October 2014",1
Daya Samaraweera,0
Aug 2007 — May 2010,0
I afrm the above informaton is accurate and true to the best of my Knowledge signature of,0
"Assistant - Career & Employment Services, University of Melbourne (Part-time)",1
ACCOUNTANT NOV 2011 JAN 2013,1
Apex Fund Services Pte. Ltd. January 2017 to present,2
Data Entry Officer (Part-Time during School Holida,1
Wellness - All in One Health Application,0
Jul 2012 - Oct 2012,0
"Information Systems,",0
ENGLISH MEDIUM (2010),0
"Monthly Salary SGD 2,002",0
Comtpleted GCE Ordinary level in 2008,0
